clusterName,NSForest_markers,f_score,onTarget,precision,recall
Endothelial cell,"['ENSG00000134531', 'ENSG00000129538']",0.2806122448979591,0.5181989073753357,0.3928571428571428,0.1309523809523809
Ureteric bud cell,"['ENSG00000169344', 'ENSG00000166681']",0.1162790697674418,0.6915016770362854,0.1538461538461538,0.0588235294117647
Fetal epithelial progenitor,"['ENSG00000129562', 'ENSG00000117450', 'ENSG00000168653', 'ENSG00000139644']",0.1041666666666666,0.1923184543848037,0.5,0.025
Proximal tubule progenitor,"['ENSG00000124766', 'ENSG00000147400', 'ENSG00000134352']",0.6666666666666666,1.0,1.0,0.2857142857142857
B cell (Plasmocyte),['ENSG00000211896'],0.8752327746741154,1.0,0.9791666666666666,0.6143790849673203
Epithelial cell,"['ENSG00000144035', 'ENSG00000162366']",0.8460195530726257,1.0,0.9766223297057638,0.5511828935395814
Intercalated cell,"['ENSG00000151418', 'ENSG00000214128']",0.858836777954425,1.0,0.96898355754858,0.5903916211293261
Loop of Henle,['ENSG00000101443'],0.6712031180116287,1.0,0.7350008745845723,0.498221484467631
Enterocyte progenitor,"['ENSG00000140416', 'ENSG00000171729']",0.5555555555555556,1.0,1.0,0.2
Smooth muscle cell,"['ENSG00000101335', 'ENSG00000198523']",0.787292817679558,1.0,0.95,0.4672131147540984
Endothelial cell (endothelial to mesenchymal transition),['ENSG00000168542'],0.7692307692307693,1.0,1.0,0.4
Stromal cell,['ENSG00000011465'],0.625,0.7455734,0.6428571428571429,0.5625
Antigen presenting cell (RPS high),"['ENSG00000111913', 'ENSG00000103187']",0.7692307692307693,1.0,1.0,0.4
Macrophage,"['ENSG00000197405', 'ENSG00000169429']",0.5844155844155844,0.3850433230400085,0.7004716981132075,0.3514792899408284
Monocyte,"['ENSG00000085265', 'ENSG00000143546']",0.281195079086116,0.3331614136695862,0.3106796116504854,0.2038216560509554
Dendritic cell,"['ENSG00000196735', 'ENSG00000223865']",0.7328482328482329,0.3122122883796692,0.8650306748466258,0.4548387096774193
B cell,"['ENSG00000211592', 'ENSG00000169508']",0.5555555555555556,0.3316324651241302,0.9333333333333332,0.2121212121212121
T cell,"['ENSG00000271503', 'ENSG00000121966']",0.4385964912280701,0.6625911593437195,0.6707317073170732,0.1839464882943143
Mast cell,"['ENSG00000197253', 'ENSG00000163751']",0.9577922077922078,1.0,0.9833333333333332,0.8676470588235294
Neutrophil,['ENSG00000163993'],0.7236842105263158,1.0,0.8461538461538461,0.4583333333333333
Sinusoidal endothelial cell,"['ENSG00000172183', 'ENSG00000115875', 'ENSG00000169429']",0.5555555555555556,1.0,0.75,0.2727272727272727
Endothelial cell (APC),"['ENSG00000115461', 'ENSG00000163513']",0.675017397355602,1.0,0.8568904593639576,0.3650733910425291
