clusterName,NSForest_markers,f_score,onTarget,precision,recall
CD8T,"['SLFN12L', 'TC2N']",0.3063133281371785,0.3006864237391144,0.4119496855345912,0.1512120046171604
Neutrophil,['FCGR3B'],0.8504519309778144,1.0,0.9627906976744186,0.5798319327731093
B_cell,"['BANK1', 'MS4A1']",0.8973384030418251,1.0,0.9957805907172996,0.6430517711171662
Plasma_cell,"['MZB1', 'DERL3']",0.9096612296110416,1.0,0.9863945578231292,0.69377990430622
Mast_cell,"['TPSB2', 'CPA3']",0.9700520833333334,1.0,0.9683184402924452,0.9770491803278688
CD4T,"['CD3D', 'CAMK4']",0.7088176920895946,0.7748635643888523,0.7119464616260858,0.6965728615213151
NK/NKT,"['FGFBP2', 'GZMB']",0.8626238141012246,1.0,0.9048662867163524,0.7268885367142103
Prolif.immune,"['MKI67', 'ASPM']",0.8684546615581098,1.0,0.918918918918919,0.7120418848167539
Macrophage,"['GPD1', 'INHBA']",0.9353066829417148,1.0,0.9750795334040296,0.8041101880192392
DC1,"['C15orf48', 'CLEC10A', 'FCGR2B']",0.6454751865066494,0.4723772352051542,0.8414376321353065,0.3341729638958858
DC2,"['FOLR2', 'IGSF21']",0.8613804905875642,1.0,0.9526813880126184,0.622680412371134
Mono,"['FCN1', 'CD300E']",0.8763241161095061,1.0,0.92992700729927,0.7121296813862493
SM/Pericyte,"['COX4I2', 'EGFL6']",0.8561884669479606,1.0,0.9701195219123506,0.5825358851674641
Fibroblast,"['LUM', 'FBLN1']",0.9156927266538069,1.0,0.9883649724433556,0.7075843928101709
Lymphatic_Cell,"['CCL21', 'TFF3']",0.926605504587156,1.0,0.9901960784313726,0.7372262773722628
Vein_cell,['ACKR1'],0.8916979842842501,1.0,0.8946015424164524,0.8802698145025295
Artery_cell,"['DKK2', 'SOX17']",0.7963655799037948,1.0,0.9283489096573208,0.5076660988074957
Capillary_Cell,"['BTNL9', 'KIAA1217']",0.861263512412407,0.5192436968274422,0.9054825813820674,0.7205180640763463
AT1,"['AGER', 'SCEL']",0.8849557522123894,1.0,0.9691629955947136,0.6567164179104478
Cilia,['PTPRT'],0.7101110461718293,1.0,0.8209459459459459,0.461100569259962
Club/Basal,"['KLK11', 'GSTA1']",0.821256038647343,1.0,0.9714285714285714,0.5074626865671642
AT2,"['NAPSA', 'SFTPD']",0.9691106585200272,1.0,0.9939077458659704,0.8811728395061729
