clusterName,NSForest_markers,f_score,onTarget,precision,recall
FIB,"['PIK3R1', 'SYNPO2']",0.5027932960893855,1.0,0.972972972972973,0.1714285714285714
ENDO,['PTPRB'],0.8779247202441506,1.0,0.9210245464247598,0.739502999143102
LEUK,['AOAH'],0.6147540983606558,1.0,0.8823529411764706,0.2777777777777778
PEC,"['ALDH1A2', 'CFH']",0.8409090909090909,1.0,0.9840425531914894,0.5316091954022989
PTVCAM1,['DCC'],0.6371711650153741,1.0,0.7357001972386588,0.4149054505005561
PT,"['SLC22A6', 'SLC13A3']",0.8754009529444738,0.8800937533378601,0.929563492063492,0.7099381235004419
ATL,['ITGB6'],0.3620218579234973,1.0,0.5196078431372549,0.1635802469135802
TAL1,"['CLDN10-AS1', 'UMOD']",0.7830660585552449,0.7396894097328186,0.8743326488706366,0.5524130773222626
TAL2,"['TMEM207', 'CLDN16']",0.7468443197755961,1.0,0.9466666666666668,0.4049429657794677
DCT1,"['SLC12A3', 'ENSG00000271945']",0.8155339805825242,1.0,0.8348829753126001,0.7463456577815993
DCT2,['LINC01099'],0.6768953068592057,1.0,0.7200606366851945,0.5459770114942529
PC,"['PWRN1', 'SCNN1G']",0.5756801442958064,1.0,0.6660869565217391,0.3731125182659522
ICB,['SLC26A4'],0.8756868131868132,1.0,0.9444444444444444,0.6781914893617021
ICA,"['SLC26A7', 'GALNT17']",0.9049327354260088,1.0,0.9882468168462292,0.6767270288397049
PODO,"['PTPRQ', 'PTPRO']",0.982879853255885,1.0,0.992283950617284,0.946980854197349
MES,"['ENSG00000249669', 'PDE3A']",0.7654185022026432,1.0,0.86875,0.5186567164179104
